"","IP0981_1701","IP0982_1701","IP0993_1701","IP0995_1701","IP0999_1701","IP7100_1701","IP7103_1701","IP7105_1701"
"TMED10P2",0,0.828033954897113,34.4539874519257,309.635689772705,3.6371954295204,0,0,1.25054173766564
"TMED11P",0,0,0,0,0.0192264390237394,0.0376551353392068,0.180878900093633,0
"TMED2",323.00536085893,187.296989838818,1706.51986690438,2117.00510222137,1349.30915050447,822.737617656873,9.42505371858812,1252.52939493677
"TMED2-DT",4.70694392293762,54.9040194263419,24.2488052677223,13.0596471522272,34.7740435971453,17.0656326950397,375.502419929388,13.3366263308659
"TMED3",8.5616837109989,13.4093734979462,51.7522296266936,67.3478594744492,63.1111150209202,27.9137149228496,2.93573825604946,32.6731336186725
"TMED4",382.916126297462,419.438309706865,1224.76291607291,2506.42090950498,1215.45858902843,1127.98944690271,122.153289759045,2062.6534485142
"TMED5",31.6616269012164,10.6532081528077,152.204245763329,266.004524862408,130.322947616643,273.365473872253,9.51132423317474,271.229637444614
"TMED6",1.7348697652512,3.14131016417915,1.54136790747471,1.17602102206482,3.21095271302592,6.71358728029871,4.08217147475844,45.1144359024964
"TMED7",26.4052405156179,26.8795426403137,275.797069288679,285.22989956616,271.939715748445,171.909295270003,0.352294163467172,107.493551095402
"TMED7-TICAM2",0.0708274026092159,0.042587491019772,0.147669958915568,0.292503691637864,0.389725935491937,0.580093846255217,0,0.225112776447146
"TMED8",7.31297200274057,14.3726340662868,53.4854847106361,106.636681721881,26.4506063153875,45.4920861003159,2.31943810730789,72.9296379859869
"TMED9",533.467460631455,298.296151156893,1991.01803332591,671.665824912841,2841.0848812679,2369.27053866765,84.3647691296217,4108.35694789268
"TMEFF1",0,0,0.00839473903178012,0.0517323156950825,0.021268927306143,0,0,0
"TMEFF2",0,0,0.010701627929728,0,0.0030126295056556,0,0.0283422796441808,0
"TMEM100",0.0538762180980844,0,0.0702049861704506,0,0,0,0,0.122311669875734
"TMEM101",13.1111987008928,21.0572318828009,73.152384969061,36.7999408525688,48.5992371590307,71.0737728035497,3.27751205911943,64.0227771462576
"TMEM102",43.1954739412278,48.4735652785469,276.745052062048,165.175079298154,274.324605552602,230.48816574472,127.331732981289,295.89411340874
"TMEM104",3.93210451141436,5.56686387459649,25.3488147106346,25.4533063296209,31.0930355484509,41.5376962544039,1.1017616501261,31.3706384015319
"TMEM105",1.35291946442905,0.521468507979938,7.59429521397065,0.756116080120517,0.916234346500501,0.448613082710049,2.87325629425174,0.118132498718879
"TMEM106A",19.8920175740294,28.3606170318526,245.633712088335,128.824384065212,199.682590513062,927.135307888821,1.6985335466019,341.815909979408
"TMEM106B",13.3799607804263,12.2789822562365,102.889249182454,392.19548142222,114.703993571172,58.8290290180956,0.651377057828545,90.1985517491741
"TMEM106C",195.447179569839,256.061507193449,991.306570593644,2010.99025650953,474.408851967457,252.778980273682,11.8142302270425,944.702899839665
"TMEM107",20.4910036200142,31.315731641776,139.737343746866,134.575578782056,80.2412798896993,122.189366704411,7.07162165571548,126.571510431012
"TMEM108",0,0,0,0,0.0020612366414355,0,0,0.00425217038996565
"TMEM108-AS1",0,0,0,0,0,0,0,0.0658463462352385
"TMEM109",61.5494797103855,42.5012840306802,635.868252595025,448.429437686176,450.927619990441,485.792453611921,20.2655083280673,1174.80025637748
"TMEM109-DT",0,0,1.98000247678016,0,0.836089694295322,1.63748838542246,102.255170250789,1.72478781425216
"TMEM11",14.5231977635996,12.0073090482198,55.7472858603891,148.04104128256,57.492067294685,86.0811957760225,4.72567590671826,91.8479813427278
"TMEM11-DT",0.0856780333376779,1.67430120377974,1.56303383962204,4.1280629822685,2.82864686239033,1.33881583959284,10.6445615350972,1.65332871242068
"TMEM114",0.00636156077682556,0,0.016579236706869,0,0.0280034577985731,0,0,0
"TMEM115",79.2912935509571,86.2125489116446,521.761985724633,677.024815047585,257.58677495549,530.181397188404,170.90394625441,333.434635415624
"TMEM116",0.797205944653972,4.830546862969,5.07630831690232,8.64561048525943,9.07167985974985,4.30445739966405,0.425447367111559,7.76180840049577
"TMEM117",0.103923960296578,0.229305276062399,1.08495318952198,1.63280380553598,0.977811045505059,0.281625116278699,0.0125842290770188,0.987878180964102
"TMEM119",0.198703940523517,0.29869450138277,6.21424794341913,0.273536484491275,1.92431932001469,16.1886869814932,0,6.22524372632493
"TMEM120A",39.6565731847862,54.6338390726651,200.313244820539,62.1702111569185,127.990854221716,180.308920763384,97.967941928158,228.589600640484
"TMEM120B",7.24403021397607,16.4636238859873,16.793901347383,27.1837964229066,31.139375085583,21.7263886230051,243.053334526949,21.9492869856975
"TMEM121",0.0929993739869393,0.978585583060224,2.90845348620152,224.680782258074,8.80169803074418,4.81065944012478,1.9256930482751,4.85599973457178
"TMEM121B",2.85449380310168,6.58605468741242,75.0846619705536,32.2889587953452,61.3660151954981,79.8377325337513,0,77.0109254192712
"TMEM123",56.4168158704188,31.5778461899145,512.281576640623,192.141162319936,283.777865671743,176.502859041539,7.05830005439516,247.759858115237
"TMEM123-DT",0.777627838445748,4.45310812139629,3.47420832871493,0.679673007564193,3.09709185031741,0.798115694512212,85.1103783397012,4.11926164418216
"TMEM125",50.4135282767249,91.3919556897215,319.297692267607,235.942675477176,169.388568336615,42.7771940965139,17.3403412334103,172.436294738575
"TMEM126A",18.8680229923835,21.4636437884542,110.716061571368,102.059140343263,121.13146657475,93.8464060330753,2.43674235724042,171.428429871665
"TMEM126B",37.8561388494885,77.8009935214181,245.546654128339,183.306289279988,247.173135449303,189.50197153131,6.99882816139353,151.933756805739
"TMEM127",79.0059869712659,98.4481836867898,591.617446567688,667.470577549823,566.333290659545,710.055257204278,23.1199921191467,447.837214697727
"TMEM128",9.39546691888586,21.6638521660815,63.4286244101317,61.5026757098066,82.3668016319986,61.1513652093177,0.549568893755035,88.6938912169843
"TMEM129",56.9657291952906,136.07480527689,462.421777110394,388.382189208214,419.580926105068,366.729245377413,33.5176029752863,1074.3210680773
"TMEM130",0.138600969591374,0.0416693774609509,0.0361216117124577,0.0317997568553667,0.0305059288039227,0,0,0.346122432106856
"TMEM131",5.40352037002169,14.2225488222116,44.0776076270228,48.6683478594677,50.394929042603,33.9612282432128,1.33788712943075,41.5498839902745
"TMEM131L",1.1319906837957,0.380118448886763,3.10460529815283,6.80340702065578,5.39607523382008,15.4606527459792,0.0818135549168856,6.99654484590957
"TMEM132A",32.0689289467728,50.1586181408496,178.135828782888,1639.61141968372,89.8333902263414,83.7425924916915,53.2326218399589,180.325282473894
"TMEM132B",0.00989914994699956,0.25084336502233,0.346440429075673,0.0259565746652813,0.441983636743901,0.0320038707655925,0,0.248812593653293
"TMEM132C",0,0,0,0,0.00336150015154322,0.013167050122265,0,0.0121353970063959
"TMEM132D",0.00161751644579471,0,0,0,0.000890034205389469,0.00784412614763828,0.00837328264052337,0.00275410669847546
"TMEM132D-AS1",1.28564973599516,0.276086628344958,0,0,0,0,0,0
"TMEM132E",0.0337515402843409,0,0.586412459904471,0.490437278957681,0.160954707407423,0.484970904542561,0,0.0638532701871695
"TMEM132E-DT",0,0,0,0,0,0,1.32845656532741,0
"TMEM134",56.4353455823425,99.8209058042405,238.598153526633,322.58122890451,236.86790325234,238.572876387692,26.7261850184502,257.960697880864
"TMEM135",0.454567120222291,0.592898833379505,5.00396666909957,6.55215389693411,4.47550785194193,4.34027838547695,0.0239503853931803,3.86005592315331
"TMEM138",21.4077656666267,28.9401662695458,111.198535431011,80.002465649638,138.65701830486,123.801154727437,47.6974797467116,181.256939876578
"TMEM139",19.5091905155291,11.6305458952215,40.2199168293473,51.2505138055905,30.0302007019868,9.23457638591538,12.9200651496248,16.5262854158817
"TMEM139-AS1",0.092539107632316,1.3756043880289,0.187577908547804,0.212316056012887,0.271570147244306,0.0886453859703845,212.055320598197,0.373485352012322
"TMEM140",2.68984657975618,2.00776441293247,15.5674052418444,6.55447270797034,37.7267559659695,132.462909456029,248.141305712568,27.6270262428591
"TMEM141",498.279568856543,984.419897410725,1312.37735376309,3612.83231575311,303.368767901515,924.682968665233,38.8544929340008,1576.95785047046
"TMEM143",3.12115673377496,8.29836129545818,19.7545577204213,13.2015542592066,12.2438364139773,14.5754182560246,0.879296362073949,26.1739257439702
"TMEM144",2.34542063892858,27.2651706809298,19.2178204418131,17.6072515284147,16.5880182918404,21.5012400731013,0.388523924498677,17.4506718038011
"TMEM145",6.44211529163888,5.46601027632082,2.98474214279408,25.2908971375385,5.86066513233058,1.78960555402147,4.15002824261618,5.33004186648439
"TMEM147",634.160654906928,594.715826555034,1715.11597721,1411.67876346113,2326.55805444552,1956.64133327387,72.3684646075556,3625.61592661557
"TMEM147-AS1",69.2721594831904,213.71210514046,166.940291985278,94.5721763798577,213.370216401054,115.988399567541,445.19941445798,191.922822014273
"TMEM14A",19.4870437528288,21.5448816740141,69.604476082605,98.8507473356433,80.5638200046615,24.2818100004157,1.80137851805043,72.1371465915171
"TMEM14B",3.39789529426688,6.22086987500998,23.28316130383,34.2285133348155,14.0261503767983,17.3969533424837,0.929264186371664,23.4622659344819
"TMEM14B-DT",0.775673506473227,2.09880558560923,2.8301395162458,0.711863098150605,2.90232380167692,2.50774609844025,0,4.40240263720735
"TMEM14C",43.7198163705221,82.5352471673316,325.270487230662,496.46382406761,187.042649501837,249.574042427723,2.54531889762878,238.97298434411
"TMEM14DP",0,0,7.64948631290939,4.48949706813296,4.30683412293986,6.32622693089084,0,8.88466281062451
"TMEM14EP",0,0,0.677329032597382,0,0,0,10.763062767116,0
"TMEM150A",51.7624833594309,59.4186051962586,148.297032138072,234.531558605086,147.071576257569,398.825811727454,52.4667476790205,165.504316783331
"TMEM150B",3.75421669255517,5.00047238447068,32.4071991957775,0.399780131449502,7.8794773863095,157.392945138669,0.328003160055895,23.590960470852
"TMEM150C",0.00850050474089771,0.0255561517138993,0.675686753255335,14.2567200517886,0.121611894615196,0.0458034371009224,0.176015839511728,0.0868416408681144
"TMEM151A",3.88072544973382,1.27277672060915,6.25215876420602,4.04713572179701,383.277538333643,103.412369229489,1.46102371943556,277.279709426924
"TMEM151B",0.0454129877022255,0.0273061715480427,0.071012070694107,0,1.13947003835553,0,0.940344767609511,0.0412392595916293
"TMEM154",1.82033578522578,0.774750784659859,8.08780563376292,10.7305006491626,10.7886952530988,17.3008661433355,0.454130271191685,4.10769468534999
"TMEM156",0.193258483324245,0.114674532271027,0.795256215552247,0.0116684320426557,1.37682285207948,5.26149974729112,0.105308155908423,1.1892221459777
